CPI_Target_Plan;CDR_SSDV_S0_Plan;Weight_S2_Plan;Non-Critical_Error_Target_Plan;CDR_DTR_Plan;CDR_SSDV_S1_Plan;CDR_SDD_Plan;Weight_Plan;FRR_SST_Plan;CDR_SL_Plan;Drag_Coef_Plan;BurnRate_Planned_S1;Critical_Error_Target_Plan;BurnRate_Planned_S0;BurnRate_Planned_S3;BurnRate_Planned_S2;CDR_SSDV_S3_Plan;Budget_Planned_Total;Budget_Planned_S1;CostVar_Plan;Budget_Planned_S0;Budget_Planned_S3;Budget_Planned_S2;CDR_VVSIL_Plan;SchedVar_Plan;CDR_ED_Plan;SPI_Target_Plan;PropulsionEff_Plan;Weight_S1_Plan;Range_Plan;BurnRate_Planned_Total;CDR_SSDV_S2_Plan;
1.0;7.506000000000009;2405.119199999992;18.090000000000025;15.0;7.506000000000009;0.0;9519.159199999955;25.0;0.0;0.028681539999999985;1.41;0.7289999999999996;1.33;0.52;3.52;7.019999999999995;200.0;40.0;0.0;40.0;15.0;100.0;0.0;0.0;20.93999999999997;1.0;0.3274;7164.040000000012;5340.655000000011;6.78;17.819999999999993;
1.0;7.645000000000009;2405.2139999999918;18.425000000000026;15.0;7.645000000000009;0.0;9519.513999999954;25.0;0.0;0.028683049999999984;1.41;0.7424999999999996;1.33;0.52;3.52;7.149999999999995;200.0;40.0;0.0;40.0;15.0;100.0;0.0;0.0;21.04999999999997;1.0;0.3274;7164.300000000012;5340.481200000011;6.78;18.14999999999999;
1.0;7.78400000000001;2405.3087999999916;18.760000000000026;15.0;7.78400000000001;0.0;9519.868799999953;25.0;0.0;0.028684559999999984;1.41;0.7559999999999996;1.33;0.52;3.52;7.279999999999995;200.0;40.0;0.0;40.0;15.0;100.0;0.0;0.0;21.159999999999968;1.0;0.3274;7164.560000000012;5340.3074000000115;6.78;18.47999999999999;
1.0;7.92300000000001;2405.4035999999915;19.095000000000027;15.0;7.92300000000001;0.0;9520.223599999952;25.0;0.0;0.028686069999999984;1.41;0.7694999999999995;1.33;0.52;3.52;7.409999999999995;200.0;40.0;0.0;40.0;15.0;100.0;0.0;0.0;21.269999999999968;1.0;0.3274;7164.820000000012;5340.133600000012;6.78;18.809999999999988;
1.0;8.06200000000001;2405.4983999999913;19.430000000000028;15.0;8.06200000000001;0.0;9520.578399999951;25.0;0.0;0.028687579999999983;1.41;0.7829999999999995;1.33;0.52;3.52;7.539999999999995;200.0;40.0;0.0;40.0;15.0;100.0;0.0;0.0;21.379999999999967;1.0;0.3274;7165.080000000013;5339.959800000012;6.78;19.139999999999986;
1.0;8.20100000000001;2405.593199999991;19.76500000000003;15.0;8.20100000000001;0.0;9520.93319999995;25.0;0.0;0.028689089999999983;1.41;0.7964999999999994;1.33;0.52;3.52;7.669999999999995;200.0;40.0;0.0;40.0;15.0;100.0;0.0;0.0;21.489999999999966;1.0;0.3274;7165.340000000013;5339.786000000013;6.78;19.469999999999985;
1.0;8.340000000000009;2405.687999999991;20.10000000000003;15.0;8.340000000000009;0.0;9521.28799999995;25.0;0.0;0.028690599999999983;1.41;0.8099999999999994;1.33;0.52;3.52;7.7999999999999945;200.0;40.0;0.0;40.0;15.0;100.0;0.0;0.0;21.599999999999966;1.0;0.3274;7165.600000000013;5339.612500000013;6.78;19.799999999999983;
1.0;8.479000000000008;2405.782799999991;20.43500000000003;15.0;8.479000000000008;0.0;9521.642799999949;25.0;0.0;0.028692109999999982;1.41;0.8234999999999993;1.33;0.52;3.52;7.929999999999994;200.0;40.0;0.0;40.0;15.0;100.0;0.0;0.0;21.709999999999965;1.0;0.3274;7165.860000000013;5339.439000000013;6.78;20.12999999999998;
1.0;8.618000000000007;2405.8775999999907;20.77000000000003;15.0;8.618000000000007;0.0;9521.997599999948;25.0;0.0;0.028693619999999982;1.41;0.8369999999999993;1.33;0.52;3.52;8.059999999999995;200.0;40.0;0.0;40.0;15.0;100.0;0.0;0.0;21.819999999999965;1.0;0.3274;7166.1200000000135;5339.265500000013;6.78;20.45999999999998;
1.0;8.757000000000007;2405.9723999999906;21.105000000000032;15.0;8.757000000000007;0.0;9522.352399999947;25.0;0.0;0.028695129999999982;1.41;0.8504999999999993;1.33;0.52;3.52;8.189999999999996;200.0;40.0;0.0;40.0;15.0;100.0;0.0;0.0;21.929999999999964;1.0;0.3274;7166.380000000014;5339.092000000013;6.78;20.789999999999978;
1.0;8.896000000000006;2406.0671999999904;21.440000000000033;15.0;8.896000000000006;0.0;9522.707199999946;25.0;0.0;0.02869663999999998;1.41;0.8639999999999992;1.33;0.52;3.52;8.319999999999997;200.0;40.0;0.0;40.0;15.0;100.0;0.0;0.0;22.039999999999964;1.0;0.3274;7166.640000000014;5338.918500000013;6.78;21.119999999999976;
1.0;9.035000000000005;2406.1619999999903;21.775000000000034;15.0;9.035000000000005;0.0;9523.061999999945;25.0;0.0;0.02869814999999998;1.41;0.8774999999999992;1.33;0.52;3.52;8.449999999999998;200.0;40.0;0.0;40.0;15.0;100.0;0.0;0.0;22.149999999999963;1.0;0.3274;7166.900000000014;5338.7450000000135;6.78;21.449999999999974;
