CPI_Target_Plan;CDR_SSDV_S0_Plan;Weight_S2_Plan;RangeObj_Plan;CDR_DTR_Plan;Non-Critical_Error_Target_Plan;CDR_SSDV_S1_Plan;CDR_SDD_Plan;Weight_Plan;FRR_SST_Plan;CDR_SL_Plan;Drag_Coef_Plan;BurnRate_Planned_S1;BurnRate_Planned_S0;Critical_Error_Target_Plan;BurnRate_Planned_S3;BurnRate_Planned_S2;CDR_SSDV_S3_Plan;Budget_Planned_Total;Budget_Planned_S1;CostVar_Plan;Budget_Planned_S0;Budget_Planned_S3;Budget_Planned_S2;CDR_VVSIL_Plan;SchedVar_Plan;CDR_ED_Plan;SPI_Target_Plan;PropulsionEff_Plan;Weight_S1_Plan;BurnRate_Planned_Total;CDR_SSDV_S2_Plan;
1.0;7.506000000000009;2405.119199999992;5200.0;15.0;18.090000000000025;7.506000000000009;0.0;9519.159199999955;25.0;0.0;2.5572900000000116;1.41;1.33;0.7289999999999996;0.52;3.52;7.019999999999995;200.0;40.0;0.0;40.0;15.0;100.0;0.0;0.0;20.93999999999997;1.0;1240.0;7164.040000000012;6.78;17.819999999999993;
1.0;7.645000000000009;2405.2139999999918;5200.0;15.0;18.425000000000026;7.645000000000009;0.0;9519.513999999954;25.0;0.0;2.557425000000012;1.41;1.33;0.7424999999999996;0.52;3.52;7.149999999999995;200.0;40.0;0.0;40.0;15.0;100.0;0.0;0.0;21.04999999999997;1.0;1240.0;7164.300000000012;6.78;18.14999999999999;
1.0;7.78400000000001;2405.3087999999916;5200.0;15.0;18.760000000000026;7.78400000000001;0.0;9519.868799999953;25.0;0.0;2.557560000000012;1.41;1.33;0.7559999999999996;0.52;3.52;7.279999999999995;200.0;40.0;0.0;40.0;15.0;100.0;0.0;0.0;21.159999999999968;1.0;1240.0;7164.560000000012;6.78;18.47999999999999;
1.0;7.92300000000001;2405.4035999999915;5200.0;15.0;19.095000000000027;7.92300000000001;0.0;9520.223599999952;25.0;0.0;2.5576950000000123;1.41;1.33;0.7694999999999995;0.52;3.52;7.409999999999995;200.0;40.0;0.0;40.0;15.0;100.0;0.0;0.0;21.269999999999968;1.0;1240.0;7164.820000000012;6.78;18.809999999999988;
1.0;8.06200000000001;2405.4983999999913;5200.0;15.0;19.430000000000028;8.06200000000001;0.0;9520.578399999951;25.0;0.0;2.5578300000000125;1.41;1.33;0.7829999999999995;0.52;3.52;7.539999999999995;200.0;40.0;0.0;40.0;15.0;100.0;0.0;0.0;21.379999999999967;1.0;1240.0;7165.080000000013;6.78;19.139999999999986;
1.0;8.20100000000001;2405.593199999991;5200.0;15.0;19.76500000000003;8.20100000000001;0.0;9520.93319999995;25.0;0.0;2.5579650000000127;1.41;1.33;0.7964999999999994;0.52;3.52;7.669999999999995;200.0;40.0;0.0;40.0;15.0;100.0;0.0;0.0;21.489999999999966;1.0;1240.0;7165.340000000013;6.78;19.469999999999985;
1.0;8.340000000000009;2405.687999999991;5200.0;15.0;20.10000000000003;8.340000000000009;0.0;9521.28799999995;25.0;0.0;2.558100000000013;1.41;1.33;0.8099999999999994;0.52;3.52;7.7999999999999945;200.0;40.0;0.0;40.0;15.0;100.0;0.0;0.0;21.599999999999966;1.0;1240.0;7165.600000000013;6.78;19.799999999999983;
1.0;8.479000000000008;2405.782799999991;5200.0;15.0;20.43500000000003;8.479000000000008;0.0;9521.642799999949;25.0;0.0;2.558235000000013;1.41;1.33;0.8234999999999993;0.52;3.52;7.929999999999994;200.0;40.0;0.0;40.0;15.0;100.0;0.0;0.0;21.709999999999965;1.0;1240.0;7165.860000000013;6.78;20.12999999999998;
1.0;8.618000000000007;2405.8775999999907;5200.0;15.0;20.77000000000003;8.618000000000007;0.0;9521.997599999948;25.0;0.0;2.5583700000000134;1.41;1.33;0.8369999999999993;0.52;3.52;8.059999999999995;200.0;40.0;0.0;40.0;15.0;100.0;0.0;0.0;21.819999999999965;1.0;1240.0;7166.1200000000135;6.78;20.45999999999998;
1.0;8.757000000000007;2405.9723999999906;5200.0;15.0;21.105000000000032;8.757000000000007;0.0;9522.352399999947;25.0;0.0;2.5585050000000136;1.41;1.33;0.8504999999999993;0.52;3.52;8.189999999999996;200.0;40.0;0.0;40.0;15.0;100.0;0.0;0.0;21.929999999999964;1.0;1240.0;7166.380000000014;6.78;20.789999999999978;
